Word,somewhere_over_the_rainbow,i_m_yours,just_the_way_you_are,
a,3,0,6,
above,2,0,0,
again,0,1,0,
all,0,0,1,
amazing,0,0,7,
and,4,6,9,
are,2,0,9,
ask,0,0,1,
askin,0,0,1,
asks,0,0,1,
back,0,1,0,
be,0,3,0,
beautiful,0,0,2,
before,0,1,0,
behind,2,0,0,
believe,0,0,1,
bestest,0,1,0,
bet,0,1,0,
big,0,1,0,
bluebirds,2,0,0,
bother,0,0,1,
but,0,3,2,
cannot,0,2,0,
cant,2,0,0,
cause,0,0,6,
change,0,0,4,
chill,0,1,0,
chimney,2,0,0,
clouds,2,0,0,
come,1,0,0,
complicate,0,1,0,
compliment,0,0,1,
cool,0,1,0,
could,0,0,1,
cracks,0,1,0,
damn,0,1,0,
dance,0,1,0,
dare,2,0,0,
day,0,0,1,
divine,0,1,0,
do,1,0,1,
done,0,3,0,
dont,0,0,2,
dream,4,0,0,
dreams,3,0,0,
drops,2,0,0,
even,0,0,1,
every,0,0,1,
everyday,0,0,2,
eyes,0,0,2,
face,0,0,3,
falls,0,0,1,
family,0,1,0,
far,2,0,0,
fate,0,1,0,
fell,0,1,0,
felt,0,1,0,
find,2,1,0,
fly,2,0,0,
for,0,0,4,
free,0,1,0,
get,0,1,0,
girl,0,0,4,
giving,0,1,0,
godforsaken,0,1,0,
gonna,0,1,0,
hair,0,0,2,
hates,0,0,1,
heart,0,1,0,
her,0,0,12,
hesitate,0,2,0,
hey,0,2,0,
high,4,0,0,
hmm,0,1,0,
hot,0,1,0,
i,2,7,16,
id,0,0,1,
if,0,0,3,
ill,2,1,1,
im,0,4,0,
in,1,1,0,
intervention,0,1,0,
into,0,1,0,
is,0,2,0,
it,0,4,0,
its,0,2,3,
just,0,1,8,
kiss,0,0,1,
know,0,0,6,
laugh,0,0,2,
learn,0,1,0,
lemon,2,0,0,
let,0,0,1,
like,2,1,1,
lips,0,0,2,
listen,0,1,0,
look,0,1,3,
love,0,4,0,
loved,0,5,0,
lullaby,1,0,0,
make,0,0,1,
me,4,3,3,
melted,0,1,0,
melts,2,0,0,
mind,0,1,0,
moment,0,1,0,
more,0,4,0,
music,0,1,0,
my,0,2,0,
need,0,1,0,
never,0,0,1,
no,0,5,0,
not,0,0,4,
nothings,0,1,0,
now,0,1,0,
of,2,1,0,
oh,6,0,2,
okay,0,0,2,
once,1,0,0,
one,0,1,0,
open,0,2,0,
or,0,1,0,
our,0,3,0,
out,0,1,0,
over,4,0,0,
people,0,1,0,
perfectly,0,0,1,
perfects,0,0,1,
plans,0,1,0,
rainbow,4,0,0,
really,1,0,0,
reckon,0,1,0,
right,0,2,0,
run,0,1,0,
sad,0,0,1,
same,0,0,1,
say,0,0,2,
searchin,0,0,1,
see,0,1,5,
sexy,0,0,1,
she,0,0,4,
shed,0,0,1,
shes,0,0,2,
shinin,0,0,1,
short,0,1,0,
sing,0,1,0,
smile,0,0,3,
so,0,2,6,
some,0,2,0,
someday,2,0,0,
somewhere,4,0,0,
star,2,0,0,
stares,0,0,3,
stars,0,0,1,
stay,0,0,1,
stop,0,1,0,
stops,0,0,3,
sure,0,1,0,
tell,0,0,2,
that,4,1,4,
thats,2,0,0,
the,12,4,14,
them,0,0,1,
then,0,0,1,
theres,0,1,3,
theyre,0,0,1,
thing,0,0,3,
think,0,0,2,
this,0,1,0,
through,0,1,0,
time,0,1,1,
to,2,6,2,
top,1,0,0,
tops,1,0,0,
tried,0,1,0,
trouble,2,0,0,
true,1,0,0,
tryin,0,0,1,
trying,0,1,0,
turn,0,1,0,
up,4,2,0,
upon,2,0,0,
wait,0,2,0,
wake,2,0,0,
way,2,0,9,
well,0,2,0,
were,0,1,0,
what,0,0,2,
when,0,0,7,
where,6,0,0,
while,0,0,3,
whole,0,0,3,
why,4,0,0,
win,0,1,0,
wish,2,0,0,
without,0,0,1,
wont,0,2,1,
world,0,0,3,
would,0,0,3,
yeah,0,0,2,
you,4,2,18,
youll,2,1,0,
your,0,3,3,
youre,0,2,8,
yours,0,2,0,
